DTC 	DTC Text
P108900 	Bank2, mixture adaptation range 1 System too lean
P109000 	Bank2, mixture adaptation range 2 System too lean
P109100 	Bank2, mixture adaptation range 1 System too rich
P109200 	Bank2, mixture adaptation range 2 System too rich
P109300 	Bank1, fuel measuring system 2 Malfunction
P109400 	Bank2, fuel measuring system 2 Malfunction
P109500 	Intake Manifold Runner Position Sensor -G336 Short circuit to B+
P109600 	Intake Manifold Runner Position Sensor -G336 Short-circuit to ground
P109700 	Intake Manifold Runner Position Sensor -G336 Open circuit
P109800 	Intake Manifold Runner Position Sensor -G336 Open circuit/short circuit to B+
P109900 	Intake manifold Runner Control (IMRC) Electrical malfunction
P10A000 	Actuation regulating flap for intake air Electrical malfunction
P10A100 	Actuation regulating flap for intake air Short circuit to B+
P10A200 	Actuation regulating flap for intake air Short-circuit to ground
P10A300 	Actuation regulating flap for intake air Open circuit
P10A400 	Regulating flap for intake air Mechanical malfunction
P10A500 	Potentiometer regulating flap for intake air Signal too high
P10A600 	Potentiometer regulating flap for intake air Signal too low
P10A700 	Adaptation regulating flap for intake air soiled
P10A800 	Adaptation regulating flap for intake air lower limit not reached
P10A900 	Magnetic clutch for mechanical charger does not open
P10AA00 	Magnetic clutch for mechanical charger does not close
P10AB00 	Magnetic clutch for mechanical charger excessive wear
P10AC00 	Magnetic clutch for mechanical charger Short-circuit to ground
P10AD00 	Magnetic clutch for mechanical charger Open circuit
P10AE00 	Current sensor for magnetic clutch for mechanical charger Electrical malfunction
P10AF00 	Magnetic clutch for mechanical charger Malfunction
P10B000 	Magnetic clutch for mechanical charger Short circuit to B+
P10B100 	Monitoring of fuel injector for cylinder 1 failure detected
P10B200 	Monitoring of fuel injector for cylinder 2 failure detected
P10B300 	Monitoring of fuel injector for cylinder 3 failure detected
P10B400 	Monitoring of fuel injector for cylinder 4 failure detected
P110000 	O2 Sensor Heater Circ.,Bank1-Sensor2 Performance too low
P110100 	O2 Sensor Circuit,Bank1-Sensor1 Voltage too low/air leak
P110200 	O2 Sensor Heater Circ.,Bank1-Sensor1 Short circuit to B+
P110300 	O2 Sensor Heater Circ.,Bank1-Sensor1 Performance too low
P110400 	O2 Sensor Circuit,Bank1-Sensor2 Voltage too low/air leak
P110500 	O2 Sensor Heater Circ.,Bank1-Sensor2 Short circuit to B+
P110600 	O2 Sensor Circuit,Bank2-Sensor1 Voltage too low/air leak
P110700 	O2 Sensor Heater Circ.,Bank2-Sensor1 Short circuit to B+
P110800 	O2 Sensor Heater Circ.,Bank2-Sensor1 Performance too low
P110900 	O2 Sensor Circuit,Bank2-Sensor2 Voltage too low/air leak
P110A00 	Fuel Pressure Regulator Valve Short-circuit to ground
P110B00 	Fuel Pressure Regulator Valve Open circuit
P110C00 	Fuel Pressure Regulator Valve Mechanical malfunction
P110D00 	Intake manifold Runner Control (IMRC) Short circuit to B+
P110E00 	Intake manifold Runner Control (IMRC) Short-circuit to ground
P110F00 	Intake manifold Runner Control (IMRC) Open circuit
P111000 	O2 Sensor Heater Circ.,Bank2-Sensor2 Short circuit to B+
P111100 	Oxygen sensor control (Bank 1) System too lean
P111200 	Oxygen sensor control (Bank 1) System too rich
P111300 	Bank 1, sensor 1 Internal resistance too Large
P111400 	Bank 1, sensor 2 Internal resistance too Large
P111500 	O2 Sensor Heater Circ.,Bank1-Sensor1 Short-circuit to ground
P111600 	O2 Sensor Heater Circ.,Bank1-Sensor1 Open circuit
P111700 	O2 Sensor Heater Circ.,Bank1-Sensor2 Short-circuit to ground
P111800 	O2 Sensor Heater Circ.,Bank1-Sensor2 Open circuit
P111900 	O2 Sensor Heater Circ.,Bank2-Sensor1 Short-circuit to ground
P111A00 	NOX Sensor -G295 Signal too low
P111B00 	NOX Sensor -G295 Signal outside tolerance
P111C00 	NOX Sensor -G295 Implausible signal
P111D00 	Heater activation sensor for NOX Short circuit to B+
P111E00 	Heater activation sensor for NOX Short-circuit to ground
P111F00 	Heater activation sensor for NOX Open circuit
P112000 	O2 Sensor Heater Circ.,Bank2-Sensor1 Open circuit
P112100 	O2 Sensor Heater Circ.,Bank2-Sensor2 Short-circuit to ground
P112200 	O2 Sensor Heater Circ.,Bank2-Sensor2 Open circuit
P112300 	Long Term Fuel Trim Add.Air.,Bank1 System too rich
P112400 	Long Term Fuel Trim Add.Air.,Bank1 System too lean
P112500 	Long Term Fuel Trim Add.Air.,Bank2 System too rich
P112600 	Long Term Fuel Trim Add.Air.,Bank2 System too lean
P112700 	Long Term Fuel Trim mult.,Bank1 System too rich
P112800 	Long Term Fuel Trim mult.,Bank1 System too lean
P112900 	Long Term Fuel Trim mult.,Bank2 System too rich
P113000 	Long Term Fuel Trim mult.,Bank2 System too lean
P113100 	Bank 2, sensor 1 Internal resistance too Large
P113200 	O2 Sensor Heating Circ.,Bank1+2-Sensor1 Short circuit to B+
P113300 	O2 Sensor Heating Circ.,Bank1+2-Sensor1 Malfunction
P113400 	O2 Sensor Heating Circ.,Bank1+2-Sensor2 Short circuit to B+
P113500 	O2 Sensor Heating Circ.,Bank1+2-Sensor2 Malfunction
P113600 	Long Term Fuel Trim Add.Fuel,Bank1 System too lean
P113700 	Long Term Fuel Trim Add.Fuel,Bank1 System too rich
P113800 	Long Term Fuel Trim Add.Fuel,Bank2 System too lean
P113900 	Long Term Fuel Trim Add.Fuel,Bank2 System too rich
P114000 	Bank 2, sensor 2 Internal resistance too Large
P114100 	Load detection implausible value
P114200 	Load detection value below lower limit
P114300 	Load detection value above upper limit
P114400 	Mass Air Flow (MAF) Sensor -G70- Open circuit/short circuit to ground
P114500 	Mass Air Flow (MAF) Sensor -G70- Short circuit to B+
P114600 	Mass Air Flow (MAF) Sensor -G70- Supply voltage
P114700 	Oxygen sensor control, Bank 2 System too lean
P114800 	Oxygen sensor control, Bank 2 System too rich
P114900 	Oxygen sensor control, Bank 1 Implausible control value
P115000 	Oxygen sensor control, Bank 2 Implausible control value
P115100 	Bank1, mixture adaptation, range 1 System too lean
P115200 	Bank1, mixture adaptation, range 2 System too lean
P115300 	Oxygen sensors behind catalytic converter Swapped
P115400 	Two-path intake manifold Malfunction
P115500 	Manifold Absolute Pressure (MAP) Sensor -G71 Short circuit to B+
P115600 	Manifold Absolute Pressure (MAP) Sensor -G71 Open circuit/short circuit to ground
P115700 	Manifold Absolute Pressure (MAP) Sensor -G71 Supply voltage
P115800 	Manifold Absolute Pressure (MAP) Sensor -G71 Implausible signal
P115900 	Signal of Mass Air Flow (MAF) sensor 1/2 Implausible relation
P115A00 	Manifold Absolute Pressure (MAP) Sensor 2 Implausible signal
P115B00 	Manifold Absolute Pressure (MAP) Sensor 2 Signal too low
P115C00 	Manifold Absolute Pressure (MAP) Sensor 2 Signal too high
P115D00 	Sensor 2 for air pressure Implausible signal
P115E00 	Sensor 2 for air pressure Signal too low
P115F00 	Sensor 2 for air pressure Signal too high
P116000 	Manifold Temp.Sensor Circ. -G72 Short-circuit to ground
P116100 	Manifold Temp.Sensor Circ. -G72 Open circuit/short circuit to B+
P116200 	Fuel Temperature Sensor A Circuit Low Input -G81 Short-circuit to ground
P116300 	Fuel Temperature Sensor A Circuit Low Input -G81 Open circuit/short circuit to B+
P116400 	Fuel Temperature Sensor A Circuit Low Input -G81 Implausible signal
P116500 	Bank1, mixture adaptation, range 1 System too rich
P116600 	Bank1, mixture adaptation, range 2 System too rich
P116700 	Mass Air Flow (MAF) Sensor 2 -G246 Implausible signal
P116800 	Mass Air Flow (MAF) Sensor 2 -G246 Open circuit/short circuit to ground
P116900 	Mass Air Flow (MAF) Sensor 2 -G246 Short circuit to B+
P116A00 	Intake manifold press./air press. - Throttle valve pos. bank 2 Correlation at idle
P116B00 	Intake manifold press./air press. - Throttle valve pos. bank 2 Correlation in partial throttle
P116C00 	Leaking air in intake system, bank 2
P116F00 	Mass air flow sensor interrupted signal
P117000 	Mass Air Flow (MAF) Sensor 2 -G246 Supply voltage
P117100 	Throttle/Pedal Position Sensor/Switch -B- Circuit -G188 Implausible signal
P117200 	Throttle/Pedal Position Sensor/Switch -B- Circuit -G188 Signal too low
P117300 	Throttle/Pedal Position Sensor/Switch -B- Circuit -G188 Signal too high
P117400 	Bank 1, fuel calculation system Injection Timing Deviation
P117500 	Pre-injection switched off
P117600 	O2 Correction Behind Catalyst,B1 Control limit reached
P117700 	O2 Correction Behind Catalyst,B2 Control limit reached
P117800 	Linear oxygen sensor/pump current Open circuit
P117900 	Linear oxygen sensor/pump current Short-circuit to ground
P117A00 	Bank1, Lambda correction center sensor Control limit reached
P117B00 	Bank2, Lambda correction center sensor Control limit reached
P117C00 	Bank3,oxygen sensor correction behind cat Lean control limit exceeded
P117D00 	Bank3,oxygen sensor correction behind cat Rich control limit exceeded
P117E00 	Bank4,oxygen sensor correction behind cat Lean control limit exceeded
P117F00 	Bank4,oxygen sensor correction behind cat Rich control limit exceeded
P118000 	Linear oxygen sensor/pump current Short circuit to B+
P118100 	Linear oxygen sensor/reference voltage Open circuit
P118200 	Linear oxygen sensor/reference voltage Short-circuit to ground
P118300 	Linear oxygen sensor/reference voltage Short circuit to B+
P118400 	linear Lambda probe / common ground wire Open circuit
P118500 	linear Lambda probe / common ground wire Short-circuit to ground
P118600 	linear Lambda probe / common ground wire Short circuit to B+
P118700 	linear Lambda probe/compensat. resistor Open circuit
P118800 	linear Lambda probe/compensat. resistor Short-circuit to ground
P118900 	linear Lambda probe/compensat. resistor Short circuit to B+
P118A00 	Bank3-sensor1 Voltage too low/air leak
P118B00 	Bank4-sensor1 Voltage too low/air leak
P119000 	Linear oxygen sensor/reference voltage Implausible
P119100 	linear Lambda probe before catalyst swapped
P119200 	Fuel Pressure Sensor -G247- Supply voltage
P119300 	Fuel Pressure Sensor -G247- Open circuit/short circuit to B+
P119400 	Fuel Pressure Regulator Valve Short circuit to B+
P119500 	Fuel Pressure Regulator Valve Open circuit/short circuit to ground
P119600 	O2 Sensor Heater Circ.,Bank1-Sensor1 Malfunction
P119700 	O2 Sensor Heater Circ.,Bank2-Sensor1 Malfunction
P119800 	O2 Sensor Heater Circ.,Bank1-Sensor2 Malfunction
P119900 	O2 Sensor Heater Circ.,Bank2-Sensor2 Malfunction
P119A00 	Fuel Pressure Sensor -G247- Malfunction
P119B00 	Fuel pressure sensor 2 Malfunction
P119C00 	Fuel Volume Regulator Control Exceeded Learning lower Limit
P119D00 	Fuel Volume Regulator Control Exceeded Learning upper Limit
P11A100 	Cam Shift Actuator "A" Cylinder 1 Circuit/Open
P11A200 	Cam Shift Actuator "A" Cylinder 1 Range/Performance
P11A300 	Cam Shift Actuator "B" Cylinder 1 Circuit/Open
P11A400 	Cam Shift Actuator "B" Cylinder 1 Range/Performance
P11A500 	Cam Shift Actuator "A" Cylinder 2 Circuit/Open
P11A600 	Cam Shift Actuator "A" Cylinder 2 Range/Performance
P11A700 	Cam Shift Actuator "B" Cylinder 2 Circuit/Open
P11A800 	Cam Shift Actuator "B" Cylinder 2 Range/Performance
P11A900 	Cam Shift Actuator "A" Cylinder 3 Circuit/Open
P11AA00 	Cam Shift Actuator "A" Cylinder 3 Range/Performance
P11AB00 	Cam Shift Actuator "B" Cylinder 3 Circuit/Open
P11AC00 	Cam Shift Actuator "B" Cylinder 3 Range/Performance
P11AD00 	Cam Shift Actuator "A" Cylinder 4 Circuit/Open
P11AE00 	Cam Shift Actuator "A" Cylinder 4 Range/Performance
P11AF00 	Cam Shift Actuator "B" Cylinder 4 Circuit/Open
P11B000 	Cam Shift Actuator "B" Cylinder 4 Range/Performance
P11B100 	Cam Shift Actuator "A" Cylinder 5 Circuit/Open
P11B200 	Cam Shift Actuator "A" Cylinder 5 Range/Performance
P11B300 	Cam Shift Actuator "B" Cylinder 5 Circuit/Open
P11B400 	Cam Shift Actuator "B" Cylinder 5 Range/Performance
P11B500 	Cam Shift Actuator "A" Cylinder 6 Circuit/Open
P11B600 	Cam Shift Actuator "A" Cylinder 6 Range/Performance
P11B700 	Cam Shift Actuator "B" Cylinder 6 Circuit/Open
P11B800 	Cam Shift Actuator "B" Cylinder 6 Range/Performance
P11B900 	Camshaft adjustment bank 1 Supply voltage
P11BA00 	Camshaft adjustment bank 2 Supply voltage
P120000 	Recirculating valve for turbocharger -N249, Mechanical malfunction
P120100 	Cylinder 1 Fuel Injector -N30- electrical malfunction in circuit
P120200 	Cylinder 2 Fuel Injector -N31- electrical malfunction in circuit
P120300 	Cylinder 3 Fuel Injector -N32- electrical malfunction in circuit
P120400 	Cylinder 4 Fuel Injector -N33- electrical malfunction in circuit
P120500 	Cylinder 5 Fuel Injector -N83- electrical malfunction in circuit
P120600 	Cylinder 6 Fuel Injector -N84- electrical malfunction in circuit
P120700 	Cylinder 7 Fuel Injector -N85- electrical malfunction in circuit
P120800 	Cylinder 8 Fuel Injector -N86- electrical malfunction in circuit
P120900 	Cylinder Shut-off, Intake Deactivation Valves Short-circuit to ground
P120A00 	Injectors control module 1 Electrical malfunction in circuit
P120B00 	Injectors control module 2 Electrical malfunction in circuit
P120C00 	Injectors control module 1 Short circuit between activation wires, Low-Side
P120D00 	Injectors control module 2 Short circuit between activation wires, Low-Side
P121000 	Cylinder Shut-off, Intake Deactivation Valves Short circuit to B+
P121100 	Cylinder Shut-off, Intake Deactivation Valves Open circuit
P121200 	Cylinder shut-off, bank 1
P121300 	Cylinder 1 Fuel Injector -N30- Short circuit to B+
P121400 	Cylinder 2 Fuel Injector -N31- Short circuit to B+
P121500 	Cylinder 3 Fuel Injector -N32- Short circuit to B+
P121600 	Cylinder 4 Fuel Injector -N33- Short circuit to B+
P121700 	Cylinder 5 Fuel Injector -N83- Short circuit to B+
P121800 	Cylinder 6 Fuel Injector -N84- Short circuit to B+
P121900 	Cylinder 7 Fuel Injector -N85- Short circuit to B+
P122000 	Cylinder 8 Fuel Injector -N86- Short circuit to B+
P122100 	Cylinder Shut-off, Exhaust Deactivation Valves Short-circuit to ground
P122200 	Cylinder Shut-off, Exhaust Deactivation Valves Short circuit to B+
P122300 	Cylinder Shut-off, Exhaust Deactivation Valves Open circuit
P122400 	Cylinder shut-off, bank 2
P122500 	Cylinder 1 Fuel Injector -N30- Short-circuit to ground
P122600 	Cylinder 2 Fuel Injector -N31- Short-circuit to ground
P122700 	Cylinder 3 Fuel Injector -N32- Short-circuit to ground
P122800 	Cylinder 4 Fuel Injector -N33- Short-circuit to ground
P122900 	Cylinder 5 Fuel Injector -N83- Short-circuit to ground
P123000 	Cylinder 6 Fuel Injector -N84- Short-circuit to ground
P123100 	Cylinder 7 Fuel Injector -N85- Short-circuit to ground
P123200 	Cylinder 8 Fuel Injector -N86- Short-circuit to ground
P123300 	Load detection Malfunction
P123400 	fuel lead missing
P123500 	O2 Correction Behind Catalyst, exhaust gas bank 3 Control limit reached
P123600 	O2 Correction Behind Catalyst, exhaust gas bank 4 Control limit reached
P123700 	Cylinder 1 Fuel Injector -N30- Open circuit
P123800 	Cylinder 2 Fuel Injector -N31- Open circuit
P123900 	Cylinder 3 Fuel Injector -N32- Open circuit
P124000 	Cylinder 4 Fuel Injector -N33- Open circuit
P124100 	Cylinder 5 Fuel Injector -N83- Open circuit
P124200 	Cylinder 6 Fuel Injector -N84- Open circuit
P124300 	Cylinder 7 Fuel Injector -N85- Open circuit
P124400 	Cylinder 8 Fuel Injector -N86- Open circuit
P124500 	Needle Lift Sensor -G80 Short-circuit to ground
P124600 	Needle Lift Sensor -G80 Implausible signal
P124700 	Needle Lift Sensor -G80 Open circuit/short circuit to B+
P124800 	Commencement of injection regulation Control difference
P124900 	Fuel consumption signal Electrical malfunction in circuit
P125000 	Fuel level too low
P125100 	Commencement of injection valve -N108 Short circuit to B+
P125200 	Commencement of injection valve -N108 Open circuit/short circuit to ground
P125300 	Fuel consumption signal Short-circuit to ground
P125400 	Fuel consumption signal Short circuit to B+
P125500 	Engine Coolant Temperature (ECT) Sensor -G62 Short-circuit to ground
P125600 	Engine Coolant Temperature (ECT) Sensor -G62 Open circuit/short circuit to B+
P125700 	Coolant Thermostat/Valve. Open circuit
P125800 	Coolant Thermostat/Valve. Short circuit to B+
P125900 	Coolant Thermostat/Valve. Short-circuit to ground
P125E00 	Valve for pump/injector Short circuit control wire
P125F00 	Valve for pump/injector not completely discharged
P126000 	Unit injector solenoid valve - cylinder 1-N240 Implausible signal
P126100 	Unit injector solenoid valve - cylinder 1-N240 Value above upper control limit
P126200 	Unit injector solenoid valve - cylinder 1-N240 Value below lower control limit
P126300 	Unit injector solenoid valve - cylinder 2-N241 Implausible signal
P126400 	Unit injector solenoid valve - cylinder 2-N241 Value above upper control limit
P126500 	Unit injector solenoid valve - cylinder 2-N241 Value below lower control limit
P126600 	Unit injector solenoid valve - cylinder 3-N242 Implausible signal
P126700 	Unit injector solenoid valve - cylinder 3-N242 Value above upper control limit
P126800 	Unit injector solenoid valve - cylinder 3-N242 Value below lower control limit
P126900 	Unit injector solenoid valve - cylinder 4-N243 Implausible signal
P127000 	Unit injector solenoid valve - cylinder 4-N243 Value above upper control limit
P127100 	Unit injector solenoid valve - cylinder 4-N243 Value below lower control limit
P127200 	Unit injector solenoid valve - cylinder 5-N244 Implausible signal
P127300 	Unit injector solenoid valve - cylinder 5-N244 Value above upper control limit
P127400 	Unit injector solenoid valve - cylinder 5-N244 Value below lower control limit
P127500 	Unit injector solenoid valve - cylinder 6-N245 Implausible signal
P127600 	Unit injector solenoid valve - cylinder 6-N245 Value above upper control limit
P127700 	Unit injector solenoid valve - cylinder 6-N245 Value below lower control limit
P127800 	Fuel Metering Valve Short circuit to B+
P127900 	Fuel Metering Valve Open circuit/short circuit to ground
P128000 	Fuel Inj.Air Contr.Valve Circ. -N212 Flow too Low
P128100 	Fuel Metering Valve Short-circuit to ground
P128200 	Fuel Metering Valve Open circuit
P128300 	Fuel Inj.Air Contr.Valve Circ. -N212 electrical malfunction in circuit
P128400 	Fuel Inj.Air Contr.Valve Circ. -N212 Open circuit
P128500 	Fuel Inj.Air Contr.Valve Circ. -N212 Short-circuit to ground
P128600 	Fuel Inj.Air Contr.Valve Circ. -N212 Short circuit to B+
P128700 	Recirculating valve for turbocharger -N249, Open circuit
P128800 	Recirculating valve for turbocharger -N249, Short circuit to B+
P128900 	Recirculating valve for turbocharger -N249, Short-circuit to ground
P128F00 	A/C Engine Coolant Temperature (ECT) Sensor -Radiator Outlet Electrical malfunction
P129000 	Engine Coolant Temperature (ECT) Sensor (on Radiator) -G83- Signal too high
P129100 	Engine Coolant Temperature (ECT) Sensor (on Radiator) -G83- Signal too low
P129200 	Map Controlled Engine Cooling Thermostat -F265- Open circuit
P129300 	Map Controlled Engine Cooling Thermostat -F265- Short circuit to B+
P129400 	Map Controlled Engine Cooling Thermostat -F265- Short-circuit to ground
P129500 	Bypass turbocharger Throughput faulty
P129600 	Malfunction in cooling system
P129700 	Connection charger-throttle valve Pressure drop
P129800 	Engine Coolant Temperature (ECT) Sensor (on Radiator) -G83- Implausible signal
P129900 	Fuel Metering Valve Malfunction
P129A00 	Fuel Pressure Regulator Valve -N276, Bank 2 Mechanical malfunction
P129B00 	Fuel Pressure Regulator Valve -N276, Bank 2 Open circuit
P129C00 	Fuel Pressure Regulator Valve -N276, Bank 2 Short-circuit to ground
P129D00 	Fuel Pressure Regulator Valve -N276, Bank 2 Short circuit to B+
P129E00 	Low Pressure Fuel System Pressure Too Low
P129F00 	Low Pressure Fuel System Pressure Too High
P12A000 	Low Pressure Fuel System Performance
P130000 	Random/Multiple Cylinder. Misfire Detected Reason: Low fuel
P130100 	Cyl.9-Knock Contr Control limit reached
P130200 	Cyl.10-Knock Contr Control limit reached
P130300 	Cyl.11-Knock Contr Control limit reached
P130400 	Cyl.12-Knock Contr Control limit reached
P130500 	Ignition control cylinder 9 Open circuit
P130600 	Ignition control cylinder 9 Short circuit to B+
P130700 	Ignition control cylinder 9 Short-circuit to ground
P130800 	Ignition control cylinder 10 Open circuit
P130900 	Ignition control cylinder 10 Short circuit to B+
P130A00 	Hide cylinder
P131000 	Ignition control cylinder 10 Short-circuit to ground
P131100 	Ignition control cylinder 11 Open circuit
P131200 	Ignition control cylinder 11 Short circuit to B+
P131300 	Ignition control cylinder 11 Short-circuit to ground
P131400 	Ignition control cylinder 12 Open circuit
P131500 	Ignition control cylinder 12 Short circuit to B+
P131600 	Ignition control cylinder 12 Short-circuit to ground
P131700 	Cyl.13-Knock Contr Control limit reached
P131800 	Cyl.14-Knock Contr Control limit reached
P131900 	Knock Sensor (KS) 1 -G61 Short-circuit to ground
P132000 	Knock Sensor (KS) 2 -G66 Short-circuit to ground
P132100 	Knock Sensor (KS) 3 -G198 Signal too low
P132200 	Knock Sensor (KS) 3 -G198 Signal too high
P132300 	Knock Sensor (KS) 4 -G199 Signal too low
P132400 	Knock Sensor (KS) 4 -G199 Signal too high
P132500 	Cyl.1-Knock Contr Control limit reached
P132600 	Cyl.2-Knock Contr Control limit reached
P132700 	Cyl.3-Knock Contr Control limit reached
P132800 	Cyl.4-Knock Contr Control limit reached
P132900 	Cyl.5-Knock Contr Control limit reached
P132A00 	Knock Sensor (KS) 3 Electrical malfunction in circuit
P132B00 	Knock Sensor (KS) 4 Electrical malfunction in circuit
P133000 	Cyl.6-Knock Contr Control limit reached
P133100 	Cyl.7-Knock Contr Control limit reached
P133200 	Cyl.8-Knock Contr Control limit reached
P133300 	Cyl.15-Knock Contr Control limit reached
P133400 	Cyl.16-Knock Contr Control limit reached
P133500 	Engine torque monitoring 2 Value above upper control limit
P133600 	Engine torque monitoring Value above upper control limit
P133700 	Camshaft Pos. (CMP) Sensor, Bank1=>-G40 Short-circuit to ground
P133800 	Camshaft Pos. (CMP) Sensor, Bank1=>-G40 Open circuit/short circuit to B+
P133900 	Crankshaft Pos./Engine Speed Sensor swapped
P134000 	Camshaft Position Sensor-G40,Engine Speed Sensor-G28 Incorrect allocation
P134100 	Ignition output 1 Short-circuit to ground
P134200 	Ignition output 1 Short circuit to B+
P134300 	Ignition output 2 Short-circuit to ground
P134400 	Ignition output 2 Short circuit to B+
P134500 	Ignition output 3 Short-circuit to ground
P134600 	Ignition output 3 Short circuit to B+
P134700 	Camshaft Position Sensor 2-G163/Engine Speed (RPM) Sensor -G28 Incorrect allocation
P134800 	Ignition output 1 Open circuit
P134900 	Ignition output 2 Open circuit
P135000 	Ignition output 3 Open circuit
P135100 	Camshaft Pos. (CMP) Sensor, Bank1=>-G40 Implausible signal during start
P135200 	Bank1, camshaft adjustment Specification not reached
P135300 	Engine Coolant Temperature/Intake Air Temperature Correlation
P135400 	Modulating piston movement sender -G149 electrical malfunction in circuit
P135500 	Ignition control cylinder 1 Open circuit
P135600 	Ignition control cylinder 1 Short circuit to B+
P135700 	Ignition control cylinder 1 Short-circuit to ground
P135800 	Ignition control cylinder 2 Open circuit
P135900 	Ignition control cylinder 2 Short circuit to B+
P136000 	Ignition control cylinder 2 Short-circuit to ground
P136100 	Ignition control cylinder 3 Open circuit
P136200 	Ignition control cylinder 3 Short circuit to B+
P136300 	Ignition control cylinder 3 Short-circuit to ground
P136400 	Ignition control cylinder 4 Open circuit
P136500 	Ignition control cylinder 4 Short circuit to B+
P136600 	Ignition control cylinder 4 Short-circuit to ground
P136700 	Ignition control cylinder 5 Open circuit
P136800 	Ignition control cylinder 5 Short circuit to B+
P136900 	Ignition control cylinder 5 Short-circuit to ground
P137000 	Ignition control cylinder 6 Open circuit
P137100 	Ignition control cylinder 6 Short circuit to B+
P137200 	Ignition control cylinder 6 Short-circuit to ground
P137300 	Ignition control cylinder 7 Open circuit
P137400 	Ignition control cylinder 7 Short circuit to B+
P137500 	Ignition control cylinder 7 Short-circuit to ground
P137600 	Ignition control cylinder 8 Open circuit
P137700 	Ignition control cylinder 8 Short circuit to B+
P137800 	Ignition control cylinder 8 Short-circuit to ground
P137900 	Cylinder 13 Random/Multiple Cylinder. Misfire Detected
P138000 	Cylinder 14 Random/Multiple Cylinder. Misfire Detected
P138100 	Cylinder 15 Random/Multiple Cylinder. Misfire Detected
P138200 	Cylinder 16 Random/Multiple Cylinder. Misfire Detected
P138300 	Portion of alternative fuels not adapted
P138400 	Engine control module 2 faulty
P138500 	Control module defective
P138600 	Control module defective
P138700 	Control module defective
P138800 	Control module defective
P138900 	Diesel Direct Fuel Injection (DFI) Engine ECM 2 -J494- Defective
P139100 	Camshaft Pos. (CMP) Sensor, Bank2=>-G163 Short-circuit to ground
P139200 	Camshaft Pos. (CMP) Sensor, Bank2=>-G163 Open circuit/short circuit to B+
P139300 	Ignition output 1 electrical malfunction in circuit
P139400 	Ignition output 2 electrical malfunction in circuit
P139500 	Ignition output 3 electrical malfunction in circuit
P139600 	Engine speed sender -G28 Range/Performance
P139700 	Sensor Wheel for Engine Speed adaptation limit reached
P139800 	Engine speed signal, TD Short-circuit to ground
P139900 	Engine speed signal, TD Short circuit to B+
P139A00 	Engine speed (RPM) validation
P13A000 	Signal wire 1 ion current system bank 1 Short circuit to B+
P13A100 	Signal wire 2 ion current system bank 1 Short circuit to B+
P13A200 	Signal wire 1 ion current system bank 1 Short-circuit to ground
P13A300 	Signal wire 2 ion current system bank 1 Short-circuit to ground
P13A400 	Signal wire 1 ion current system bank 2 Short circuit to B+
P13A500 	Signal wire 2 ion current system bank 2 Short circuit to B+
P13A600 	Signal wire 1 ion current system bank 2 Short-circuit to ground
P13A700 	Signal wire 2 ion current system bank 2 Short-circuit to ground
P13A800 	Ion current system cylinder 1 Trouble code detected?
P13A900 	Ion current system cylinder 1 Implausible signal
P13AA00 	Ion current system cylinder 2 Trouble code detected?
P13AB00 	Ion current system cylinder 2 Implausible signal
P13AC00 	Ion current system cylinder 3 Trouble code detected?
P13AD00 	Ion current system cylinder 3 Implausible signal
P13AE00 	Ion current system cylinder 4 Trouble code detected?
P13AF00 	Ion current system cylinder 4 Implausible signal
P13B000 	Ion current system cylinder 5 Trouble code detected?
P13B100 	Ion current system cylinder 5 Implausible signal
P13B200 	Ion current system cylinder 6 Trouble code detected?
P13B300 	Ion current system cylinder 6 Implausible signal
P13B400 	Ion current system cylinder 7 Trouble code detected?
P13B500 	Ion current system cylinder 7 Implausible signal
P13B600 	Ion current system cylinder 8 Trouble code detected?
P13B700 	Ion current system cylinder 8 Implausible signal
P13B800 	Ion current system cylinder 9 Trouble code detected?
P13B900 	Ion current system cylinder 9 Implausible signal
P13BA00 	Ion current system cylinder 10 Trouble code detected?
P13BB00 	Ion current system cylinder 10 Implausible signal
P13BC00 	Ion current system cylinder 11 Trouble code detected?
P13BD00 	Ion current system cylinder 11 Implausible signal
P13BE00 	Ion current system cylinder 12 Trouble code detected?
P13BF00 	Ion current system cylinder 12 Implausible signal
P13C000 	Ion current system cylinder 13 Trouble code detected?
P13C100 	Ion current system cylinder 13 Implausible signal
P13C200 	Ion current system cylinder 14 Trouble code detected?
P13C300 	Ion current system cylinder 14 Implausible signal
P13C400 	Ion current system cylinder 15 Trouble code detected?
P13C500 	Ion current system cylinder 15 Implausible signal
P13C600 	Ion current system cylinder 16 Trouble code detected?
P13C700 	Ion current system cylinder 16 Implausible signal
P13C800 	Ion current system bank 1, Initialization error channel 1
P13C900 	Ion current system bank 1, Initialization error channel 2
P13CA00 	Ion current system bank 1, Initialization error channel 1/2
P13CB00 	Ion current system bank 2, Initialization error channel 1
P13CC00 	Ion current system bank 2, Initialization error channel 2
P13CD00 	Ion current system bank 2, Initialization error channel 1/2
P13CE00 	Sensor for internal pressure of cylinder 1 Electrical malfunction
P13CF00 	Sensor for internal pressure of cylinder 1 Short circuit to ground
P13D000 	Sensor for internal pressure of cylinder 1 Implausible signal
P13D100 	Sensor for internal pressure of cylinder 2 Electrical malfunction
P13D200 	Sensor for internal pressure of cylinder 2 Short circuit to ground
P13D300 	Sensor for internal pressure of cylinder 2 Implausible signal
